No,Sector,1 depth,2 depth,3 depth,4 depth,스토리보드 번호,설명,콘텐츠/데이터,링크/버튼/액션,코멘트
1,공통,상단 네비게이션,,,,[STD-01 상단 네비게이션],전역 네비게이션 바,"로고, 메뉴(탐색, 오픈 프로젝트, 인사이트), 검색바, 채팅 아이콘(미확인 배지), 프로필 이미지/로그인 버튼, 사용자별 CTA 버튼","로고 클릭→[2-1 메인] 이동, 탐색 클릭→[3-1 탐색] 이동, 오픈 프로젝트 클릭→[4-1 오픈 프로젝트] 이동, 인사이트 클릭→[5-1 인사이트] 이동, 채팅 아이콘 클릭→채팅 모달 노출, 프로필 클릭→팝오버 노출, 로그인 버튼 클릭→[1-2-1 로그인] 이동, IPH CTA 클릭→[6-1 캐릭터 등록] 이동, BP CTA 클릭→[7-1 프로젝트 등록] 이동, 비회원 CTA 클릭→[1-1-1 회원가입] 이동",
2,,,검색바 확장,,,[STD-01-1 검색바 확장],검색어 입력 시 노출되는 확장 영역,"최근 검색어(최대 10개, 최신순), 추천 검색어(최대 5개, 인기 기반), 인기 태그(최대 5개)","최근/추천 검색어 클릭→해당 키워드로 검색 실행→[3-1 탐색] 이동, X 버튼→개별 삭제, Enter/검색 버튼→[3-1 탐색] 이동",
3,,,프로필 팝오버,,,[STD-01-2 프로필 팝오버],프로필 클릭 시 노출되는 팝오버,"프로필 이미지, 닉네임/기업명, 요금제 정보(Basic/Pro/Business), 메뉴 아이템(내 프로필, 마이부스, 내 통계, 설정, 로그아웃)","내 프로필 클릭→[9-1 프로필 관리] 이동, 마이부스 클릭→[9-7 마이부스] 이동, 내 통계 클릭→[9-8 내 통계] 이동, 설정 클릭→[9-2 설정] 이동, 로그아웃 클릭→로그아웃 처리→[2-1 메인] 이동, 요금제 클릭→[9-4 요금제 관리] 이동",
4,,푸터,,,,[STD-02 푸터],전역 푸터 영역,"로고, 이용약관, 개인정보처리방침, FAQ, 업데이트 노트, 회사소개, 채용공고, SNS 아이콘(인스타그램, 링크드인, 블로그), 언어 변경(한국어/English/日本語), 고객센터 메일주소","로고 클릭→[2-1 메인] 이동, 이용약관 클릭→이용약관 페이지 이동, 개인정보처리방침 클릭→정책 페이지 이동, FAQ 클릭→FAQ 페이지 이동, 업데이트 노트 클릭→업데이트 페이지 이동, 회사소개 클릭→회사소개 페이지 이동, 채용공고 클릭→채용 페이지 이동, SNS 아이콘 클릭→해당 채널 새 탭 이동, 언어 변경 클릭→언어 즉시 변경, 메일주소 클릭→메일 앱 실행(mailto)",
5,인증,회원가입,이메일 회원가입,,,[1-1-1 회원가입],이메일 기반 회원가입 입력 화면,"이메일 입력 필드, 비밀번호 입력 필드, 비밀번호 확인 필드, 약관 동의 체크박스(전체동의, 필수약관, 선택약관), 마케팅 수신 동의 체크박스, 소셜 로그인 버튼(카카오/네이버/구글/LINE)","다음 버튼 클릭→유효성 검사→[1-1-2 유형 선택] 이동, 소셜 로그인 버튼 클릭→OAuth 인증→[1-1-2 유형 선택] 이동, 로그인 링크 클릭→[1-2-1 로그인] 이동",
6,,,유형 선택,,,[1-1-2 회원가입>유형 선택],사용자 유형 선택 화면,"유형 선택 카드(IPH-C 개인 크리에이터, IPH-A 에이전시, BP 브랜드 파트너), 각 유형별 설명 텍스트","IPH-C 선택→[1-1-3-1 IPH-C 정보입력] 이동, IPH-A 선택→[1-1-3-2 IPH-A 정보입력] 이동, BP 선택→[1-1-3-3 BP 정보입력] 이동",
7,,,필수 정보 입력,IPH-C,,[1-1-3-1 회원가입>IPH-C 정보입력],IPH-C 필수 정보 입력 화면,"작가 이름 입력 필드, 국적 드롭다운, 사업자 등록 여부 선택(개인/사업자)","가입 완료 버튼 클릭→유효성 검사→[1-1-4 가입 완료] 이동, 이전 버튼 클릭→[1-1-2 유형 선택] 이동",
8,,,,IPH-A,,[1-1-3-2 회원가입>IPH-A 정보입력],IPH-A 필수 정보 입력 화면,"에이전시명 입력 필드, 대표자명 입력 필드, 국적 드롭다운, 사업자등록번호 입력 필드","가입 완료 버튼 클릭→유효성 검사→[1-1-4 가입 완료] 이동, 이전 버튼 클릭→[1-1-2 유형 선택] 이동",
9,,,,BP,,[1-1-3-3 회원가입>BP 정보입력],BP 필수 정보 입력 화면,"회사 이름 입력 필드, 담당자 이름 입력 필드, 사업자 유형 선택, 회사 국적 드롭다운, 회사 업종 선택(브랜드/제조사, 유통/소매, 광고/마케팅 등 18개 항목)","다음 버튼 클릭→[1-1-3-4 BP 선택정보] 이동, 이전 버튼 클릭→[1-1-2 유형 선택] 이동",
10,,,,BP 선택정보,,[1-1-3-4 회원가입>BP 선택정보],BP 선택 정보 입력 화면,"주요 제품/서비스 입력 필드, 선호 IP 스타일 복수 선택","가입 완료 버튼 클릭→[1-1-4 가입 완료] 이동, 스킵 버튼 클릭→[1-1-4 가입 완료] 이동, 이전 버튼 클릭→[1-1-3-3 BP 정보입력] 이동",
11,,,가입 완료,,,[1-1-4 회원가입>완료],가입 완료 안내 화면,"가입 완료 메시지, 환영 문구, 사용자 유형별 다음 단계 안내",시작하기 버튼 클릭→[2-1 메인] 이동,
12,,로그인,로그인,,,[1-2-1 로그인],로그인 입력 화면,"이메일 입력 필드, 비밀번호 입력 필드, 로그인 상태 유지 체크박스, 소셜 로그인 버튼(카카오/네이버/구글/LINE), 비밀번호 찾기 링크, 회원가입 링크","로그인 버튼 클릭→인증 성공 시 이전 페이지 또는 [2-1 메인] 이동/실패 시 에러 메시지 노출, 소셜 로그인 버튼 클릭→OAuth 인증→로그인 완료, 비밀번호 찾기 클릭→[1-2-2 비밀번호 찾기] 이동, 회원가입 클릭→[1-1-1 회원가입] 이동",
13,,,비밀번호 찾기,,,[1-2-2 로그인>비밀번호 찾기],비밀번호 찾기 이메일 입력 화면,"가입 이메일 입력 필드, 안내 문구",재설정 링크 발송 버튼 클릭→이메일로 재설정 링크 발송→발송 완료 안내 표시,
14,,,비밀번호 재설정,,,[1-2-3 로그인>비밀번호 재설정],새 비밀번호 입력 화면 (이메일 링크 접속 시),"새 비밀번호 입력 필드, 비밀번호 확인 필드, 비밀번호 규칙 안내",변경 완료 버튼 클릭→비밀번호 변경→[1-2-1 로그인] 이동,
15,,인증,휴대폰 인증,,,[1-3-1 휴대폰 인증],휴대폰 인증 모달/페이지,"휴대폰 번호 입력 필드, 인증번호 입력 필드, 타이머(3분), 안내 문구(""핵심 기능 사용을 위해 휴대폰 인증이 필요합니다""), 트리거 시점 안내(IP 등록, 프로젝트 지원, 문의하기, 프로젝트 등록 시)","인증번호 발송 버튼 클릭→SMS 발송, 인증 완료 버튼 클릭→인증 성공 시 원래 플로우 계속 진행, 재발송 버튼 클릭→인증번호 재발송",
16,,,사업자 인증,,,[1-3-2 사업자 인증],사업자 인증 모달/페이지,"사업자등록증 업로드 영역, OCR 추출 결과 미리보기(사업자등록번호, 상호명, 대표자명, 사업장 주소), 안내 문구, 대상 안내(IPH-A, IPH-C 사업자, BP)","파일 업로드→OCR 자동 추출→미리보기 표시, 인증하기 버튼 클릭→국세청 API 검증→인증 완료 시 원래 플로우 계속 진행",
17,메인,메인 랜딩,Hero 섹션,,,[2-1 메인],플랫폼 메인 페이지 Hero 영역,"플랫폼 소개 헤드라인, 서브 카피, IP 검색 입력 필드, 배경 비주얼",검색 필드 입력→Enter/검색 버튼→[3-1 탐색] 이동,
18,,,메인 캐릭터 섹션,인증된 IP,,[2-1-1 메인>인증된 IP],사업자 인증 + 저작권 등록 IP 섹션,"섹션 타이틀, IP 카드 8개(대표이미지, IP명, IPH명, 카테고리 태그, 스크랩수), 더보기 버튼","IP 카드 클릭→[3-2 IP 상세] 이동, 더보기 버튼 클릭→[3-1 탐색](인증된 IP 필터 적용) 이동",
19,,,,라이징 IP,,[2-1-2 메인>라이징 IP],최근 7일 스크랩 증가율 상위 IP 섹션,"섹션 타이틀, IP 카드 8개, 더보기 버튼","IP 카드 클릭→[3-2 IP 상세] 이동, 더보기 버튼 클릭→[3-1 탐색](라이징 정렬 적용) 이동",
20,,,,이너부스 추천 IP,,[2-1-3 메인>추천 IP],운영팀 선정 피처드 IP 섹션,"섹션 타이틀, IP 카드 8개, 더보기 버튼","IP 카드 클릭→[3-2 IP 상세] 이동, 더보기 버튼 클릭→[3-1 탐색](추천 필터 적용) 이동",
21,,,,신규 업데이트 IP,,[2-1-4 메인>신규 IP],최근 등록 IP 섹션,"섹션 타이틀, IP 카드 8개, 더보기 버튼","IP 카드 클릭→[3-2 IP 상세] 이동, 더보기 버튼 클릭→[3-1 탐색](최신순 정렬 적용) 이동",
22,,,사용자 타깃팅 섹션,,,[2-1-5 메인>타깃팅],사용자 유형별 안내 카드 섹션,"비회원: ""IP 탐색하기"" 카드, IPH: ""프로젝트 둘러보기"" 카드, BP: ""IP 탐색하기"" 카드, 각 카드별 설명 문구","비회원 카드 클릭→[3-1 탐색] 이동, IPH 카드 클릭→[4-1 오픈 프로젝트] 이동, BP 카드 클릭→[3-1 탐색] 이동",
23,,,뉴스레터 신청 섹션,,,[2-1-6 메인>뉴스레터],뉴스레터 구독 신청 섹션,"섹션 타이틀, 안내 문구, 이메일 입력 필드, 신청 버튼",이메일 입력→신청 버튼 클릭→개인정보 동의 확인 모달 노출→동의 체크+최종 신청→완료 메시지 노출,
24,탐색,IP 탐색,탐색 목록,,,[3-1 탐색],IP 탐색 목록 페이지,"검색바, 기본 필터 영역, 상세 필터 영역(유료 회원), 정렬 옵션, IP 카드 그리드(대표이미지, IP명, IPH명, 카테고리 태그, 스크랩수, 스크랩 버튼), 페이지네이션","검색바 입력→Enter→검색 결과 갱신, 필터 선택→목록 필터링, 정렬 선택→목록 정렬 변경, IP 카드 클릭→[3-2 IP 상세] 이동, 스크랩 버튼 클릭→스크랩 등록/해제(비회원 시 로그인 유도 모달)",
25,,,기본 필터,,,[3-1-1 탐색>기본 필터],모든 사용자 접근 가능 필터,"IP 유형(오리지널 캐릭터, 애니메이션/영상, 이모티콘, 웹툰/만화, 서브컬쳐/일러스트, 마스코트/브랜드, 게임, 기타), IP 활용 가능 분야(문구/오피스, 인테리어/가구 등 10개), IP 스타일&바이브(코믹, 심플, 감성, 트렌디 등 8개), 컬러, IP 타깃/팬층(키즈/패밀리, MZ세대, 글로벌, 남성 중심, 여성 중심), IP 원작국가, IPH 인증 여부","필터 항목 선택→목록 필터링 적용, 초기화 버튼→필터 리셋",
26,,,상세 필터,,,[3-1-2 탐색>상세 필터],BP Pro/Business 전용 필터,"저작권 등록번호 인증 여부, 최소 협업 금액 유무, 최소 협업 금액 범위(슬라이더), 프로젝트 이력 횟수, SNS 팔로워 수 범위, SNS 팔로워 증감율",필터 항목 선택→목록 필터링 적용 (권한 없을 시 잠금 아이콘 + 업그레이드 유도),
27,,,정렬 옵션,,,[3-1-3 탐색>정렬],정렬 기준 선택,"최신순(기본), 인기순(All), SNS 팔로워 순(유료), IP 신뢰 지수(유료), IPH 협업 활동 지수(유료), IPH 협업 매너 지수(유료), IP SNS 지수(Business)",정렬 옵션 선택→목록 정렬 변경 (권한 없을 시 잠금 아이콘 + 업그레이드 유도),
28,,,IP 상세,기본 정보,,[3-2 IP 상세],IP 상세 페이지,"대표 이미지, IP명, 원작 국가, 카테고리, 태그 목록, IPH 프로필(이미지, 이름, 인증 뱃지-휴대폰/사업자/저작권), 스크랩수, 조회수","스크랩 버튼 클릭→스크랩 등록/해제, 공유 버튼 클릭→공유 모달(URL 복사, SNS 공유), IPH 프로필 클릭→IPH 상세 페이지 이동",
29,,,,포트폴리오,,[3-2-1 IP 상세>포트폴리오],포트폴리오 섹션,"포트폴리오 설명(200자 이상), 이미지 갤러리(1장 이상)",이미지 클릭→라이트박스 확대 보기,
30,,,,대표 채널,,[3-2-2 IP 상세>대표 채널],연동된 SNS 채널 정보 섹션,"채널 아이콘, 채널명, 팔로워 수, 최근 업데이트 일시",채널 링크 클릭→해당 SNS 채널 새 탭 이동,
31,,,,협업 정보,,[3-2-3 IP 상세>협업 정보],협업 조건 섹션,"IP 활용 가능 범위(복수 표시), 최소 협업 금액(MG) 정보(설정 시에만 노출, ""협의 후 결정"" 또는 금액), 협업 이력 목록(브랜드명, 협업 유형, 기간)",협업 이력 항목 클릭→상세 정보 모달,
32,,,,스타일 가이드북,,[3-2-4 IP 상세>가이드북],스타일 가이드북 섹션 (업로드 시에만 노출),"가이드북 파일 미리보기, 파일명, 파일 크기",다운로드 버튼 클릭→파일 다운로드,
33,,,,관련 IP 추천,,[3-2-5 IP 상세>관련 IP],유사 IP 추천 섹션,관련 IP 카드 목록(추천 알고리즘 기반),IP 카드 클릭→해당 [3-2 IP 상세] 이동,
34,,,,문의하기 CTA,,[3-2-6 IP 상세>문의하기],문의하기 버튼 영역 (BP 전용),"""협업 문의하기"" CTA 버튼, 월 문의 횟수 잔여 표시(Basic 시)","문의하기 버튼 클릭→사전 조건 검증(휴대폰/사업자 인증, 월 문의 횟수)→통과 시 [10-3 문의 폼 모달] 노출→미통과 시 안내 모달([1-3-1 휴대폰 인증] 또는 [1-3-2 사업자 인증] 또는 업그레이드 유도)",
35,오픈 프로젝트,프로젝트 탐색,랜딩 페이지,,,[4-1 오픈 프로젝트],오픈 프로젝트 랜딩 페이지,"프로모션 배너(유료 광고 또는 인기 프로젝트 3개 슬라이드), 사용자별 가이드 배너(IPH: ""프로젝트에 지원해보세요"", BP: ""프로젝트를 등록해보세요""), 탭(맞춤 프로젝트, 마감 임박, 인기, 전체)","배너 클릭→해당 [4-2 프로젝트 상세] 이동, IPH 가이드 배너 클릭→안내 페이지 이동, BP 가이드 배너 클릭→[7-1 프로젝트 등록] 이동, 탭 클릭→해당 목록 표시",
36,,,프로젝트 목록,,,[4-1-1 오픈 프로젝트>목록],프로젝트 카드 목록 화면,"프로젝트 카드 그리드(대표 이미지, 프로젝트 제목, 주요 협업 유형, 모집 마감일, 인기/신규 뱃지, BP 정보-프로필+기업명, 스크랩 버튼), 필터 영역, 정렬 옵션, 페이지네이션","프로젝트 카드 클릭→[4-2 프로젝트 상세] 이동, 필터 선택→목록 필터링, 정렬 선택→목록 정렬 변경, 스크랩 버튼 클릭→스크랩 등록/해제",
37,,,필터/정렬,,,[4-1-2 오픈 프로젝트>필터],프로젝트 필터 및 정렬 영역,"필터: 진행 상태(모집중/마감), 프로젝트 거래 유형(제품 생산 및 상품화 라이선스, 마케팅 협업 캠페인, 온라인 광고 및 프로모션 협업, 이벤트/전시/팝업스토어, 유통 목적의 상품 구매), 품목 카테고리(복수 선택), 프로젝트 예산 규모(범위 지정), 정렬: 최신 등록순, 마감 임박순, 인기순","필터 선택→목록 필터링 적용, 정렬 선택→목록 정렬 변경, 초기화 버튼→필터 리셋",
38,,,프로젝트 상세,기본 정보,,[4-2 프로젝트 상세],프로젝트 상세 페이지,"대표 이미지, 프로젝트 제목, 주요 협업 유형, 모집 마감일, 진행 상태 뱃지, BP 정보(프로필 이미지, 기업명, 업종, 인증 뱃지), 스크랩수, 조회수","스크랩 버튼 클릭→스크랩 등록/해제, 공유 버튼 클릭→공유 모달(URL 복사, SNS 공유), BP 프로필 클릭→BP 상세 페이지 이동",
39,,,,프로젝트 개요,,[4-2-1 프로젝트 상세>개요],인사말 및 프로젝트 개요 섹션,프로젝트 개요 본문(200자 이상),-,
40,,,,모집 분야,,[4-2-2 프로젝트 상세>모집 분야],모집 분야 섹션,모집 분야 상세(50자 이상),-,
41,,,,디자인 방향,,[4-2-3 프로젝트 상세>디자인 방향],디자인 방향 섹션 (설정 시에만 노출),디자인 방향 설명,-,
42,,,,예산 정보,,[4-2-4 프로젝트 상세>예산],예산 및 추가 요청 섹션,"프로젝트 예산 범위, 추가 요청 사항(SNS 프로모션 지원, 추가 에셋 제작, 비매품/증정용 라이선스 활용, 기타)",-,
43,,,,참여 혜택,,[4-2-5 프로젝트 상세>혜택],참여 IPH 혜택 섹션,참여 혜택 상세(50자 이상),-,
44,,,,유의사항,,[4-2-6 프로젝트 상세>유의사항],유의사항 섹션,유의사항 상세(50자 이상),-,
45,,,,지원하기 CTA,,[4-2-7 프로젝트 상세>지원하기],지원하기 버튼 영역 (IPH 전용),"""프로젝트 지원하기"" CTA 버튼, 지원자 수 표시, 마감 D-day","지원하기 버튼 클릭→사전 조건 검증(휴대폰 인증, 사업자 인증-해당 시, 공개 IP 보유 여부)→통과 시 [8-1 프로젝트 지원] 진입→미통과 시 안내 모달(인증 유도 또는 IP 등록 유도→[6-1 캐릭터 등록])",
46,인사이트,인사이트 탐색,메인 페이지,,,[5-1 인사이트],인사이트 메인 페이지,"최신 인사이트 섹션, 맞춤 인사이트 섹션(회원), 필터 영역, 정렬 옵션, 인사이트 카드 그리드(썸네일 이미지, 제목, 카테고리, 요약 설명, 발행일, 조회수)","인사이트 카드 클릭→[5-2 인사이트 상세] 이동, 필터 선택→목록 필터링, 정렬 선택→목록 정렬 변경",
47,,,필터/정렬,,,[5-1-1 인사이트>필터],인사이트 필터 및 정렬 영역,"필터: 콘텐츠 카테고리(비즈니스 전략, 트렌드&시장 동향, 인터뷰, 업데이트-인사이드 부스), 읽은/안읽은 글(회원), 스크랩한 글(회원), 정렬: 최신 업데이트순, 전체 인기순, 동일 포지션 인기순(회원)","필터 선택→목록 필터링 적용, 정렬 선택→목록 정렬 변경, 초기화 버튼→필터 리셋",
48,,,인사이트 상세,,,[5-2 인사이트 상세],인사이트 상세 페이지,"제목, 카테고리, 발행일, 본문(텍스트+이미지), 관련 콘텐츠 추천 목록, 스크랩 버튼, 공유 버튼","스크랩 버튼 클릭→스크랩 등록/해제(비회원 시 로그인 유도 모달), 공유 버튼 클릭→공유 모달(URL 복사, SNS 공유), 관련 콘텐츠 카드 클릭→해당 [5-2 인사이트 상세] 이동",
49,캐릭터 등록 (IPH),캐릭터 등록,등록 시작,,,[6-1 캐릭터 등록],캐릭터 등록 시작 화면,"튜토리얼 모달(최초 진입 시), 등록 단계 안내(STEP 1~4), 인증 상태 확인","튜토리얼 확인/스킵→[6-1-1 기본 정보 입력] 이동, 휴대폰 미인증 시→[1-3-1 휴대폰 인증] 모달 노출",
50,,,STEP 1 기본 정보,,,[6-1-1 캐릭터 등록>기본 정보],캐릭터 기본 정보 입력 화면,"캐릭터 이름 입력 필드(필수), 대표 이미지 업로드 영역+AI 배경색 제안(필수), 프레임 선택 옵션, 원작 국가 드롭다운(필수), 카테고리(IP 유형) 단일 선택(오리지널 캐릭터, 애니메이션/영상, 이모티콘, 웹툰/만화, 서브컬쳐/일러스트, 마스코트/브랜드, 게임, 기타)(필수), 태그 입력(최대 10개), 자동 임시저장 안내","대표 이미지 업로드→AI 배경색 자동 제안→선택/변경 가능, 다음 버튼 클릭→유효성 검사→[6-1-2 상세 정보 입력] 이동, 10초 이상 중단 시 자동 임시저장",
