No,Sector,1 depth,2 depth,3 depth,4 depth,스토리보드 번호,설명,콘텐츠/데이터,링크/버튼/액션,코멘트
51,,,STEP 2 상세 정보,,,[6-1-2 캐릭터 등록>상세 정보],캐릭터 상세 정보 입력 화면,"포트폴리오 작성(텍스트 에디터, 필수, 200자 이상), 이미지 첨부(필수, 1장 이상), 대표 채널 인증(API 연동, 선택), 저작권 등록번호 입력(선택), 스타일 가이드북 업로드(선택, PDF/이미지)","채널 연결 버튼 클릭→OAuth 인증→채널 정보 자동 수집, 이미지 추가/삭제, 파일 업로드/삭제, 다음 버튼 클릭→유효성 검사→[6-1-3 협업 정보 입력] 이동, 이전 버튼 클릭→[6-1-1 기본 정보 입력] 이동",
52,,,STEP 3 협업 정보,,,[6-1-3 캐릭터 등록>협업 정보],협업 정보 입력 화면,"IP 활용 가능 범위 복수 선택(문구/오피스, 인테리어/가구, 패션/의류, 액세서리/주얼리, 식품/F&B, 생활용품/리빙, 뷰티/헬스, 출판/문학, 교육/키즈, 전시/행사)(필수), 최소 협업 금액(MG) 설정(금액 입력 또는 ""협의 후 결정"")(선택), 협업 이력 추가(선택, 복수)","체크박스 복수 선택, 금액 입력/""협의 후 결정"" 선택, 이력 추가/삭제, 다음 버튼 클릭→[6-1-4 공개 설정] 이동, 이전 버튼 클릭→[6-1-2 상세 정보 입력] 이동",
53,,,STEP 4 공개 설정,,,[6-1-4 캐릭터 등록>공개 설정],공개 범위 설정 및 최종 등록 화면,"공개 범위 토글(공개/비공개), IP 카드 미리보기, 등록 완료 버튼","공개/비공개 토글 선택, 등록 완료 버튼 클릭→운영팀 승인 대기 상태로 등록→[6-1-5 등록 완료] 이동, 이전 버튼 클릭→[6-1-3 협업 정보 입력] 이동",
54,,,등록 완료,,,[6-1-5 캐릭터 등록>완료],등록 완료 안내 화면,"등록 완료 메시지, 승인 대기 안내, 다음 단계 안내","마이페이지로 이동 버튼 클릭→[9-7-1 마이부스>IP 관리] 이동, 홈으로 버튼 클릭→[2-1 메인] 이동",
55,,캐릭터 관리,IP 목록,,,[6-2 캐릭터 관리],내 IP 관리 페이지 (마이페이지 연동),"등록된 IP 카드 목록(상태별: 승인대기/공개/비공개), 필터(IP 공개상태), 정렬(최신 등록순), 카드별 액션 버튼","IP 카드 클릭→[6-2-1 IP 상세/수정] 이동, 필터 선택→목록 필터링, 정렬 선택→목록 정렬 변경",
56,,,IP 상세/수정,,,[6-2-1 캐릭터 관리>상세],IP 상세 보기 및 수정 화면,"IP 상세 정보 전체, 수정/삭제/공개 전환 버튼","수정 버튼 클릭→수정 모드 전환, 저장 버튼 클릭→수정 내용 저장, 공개/비공개 전환 버튼 클릭→상태 변경, 삭제 버튼 클릭→삭제 확인 모달→확인 시 삭제 처리→[6-2 캐릭터 관리] 이동",
57,프로젝트 등록 (BP),프로젝트 등록,등록 시작,,,[7-1 프로젝트 등록],프로젝트 등록 시작 화면,"등록 단계 안내(STEP 1~4), 인증 상태 확인","휴대폰/사업자 미인증 시→[1-3-1 휴대폰 인증] 또는 [1-3-2 사업자 인증] 모달 노출, 인증 완료 시→[7-1-1 기본 정보 입력] 이동",
58,,,STEP 1 기본 정보,,,[7-1-1 프로젝트 등록>기본 정보],프로젝트 기본 정보 입력 화면,"프로젝트 제목 입력 필드(필수), 대표 이미지 업로드(필수), 주요 협업 유형 단일 선택(제품 생산 및 상품화 라이선스, 마케팅 협업 캠페인, 온라인 광고 및 프로모션 협업, 이벤트/전시/팝업스토어, 유통 목적의 상품 구매)(필수), 모집 마감일 캘린더 피커(필수), 희망 IP 카테고리 복수 선택(필수), 프로젝트 예산 설정(최소~최대 금액)(필수), 추가 요청 사항 복수 선택(SNS 프로모션 지원 요청, 추가 에셋 제작 요청, 비매품/증정용 라이선스 활용, 기타)(선택), 인사말 및 프로젝트 개요(텍스트 에디터, 필수, 200자 이상)","라디오 버튼 선택, 체크박스 복수 선택, 날짜 선택, 금액 입력, 다음 버튼 클릭→유효성 검사→[7-1-2 상세 정보 입력] 이동",
59,,,STEP 2 상세 정보,,,[7-1-2 프로젝트 등록>상세 정보],프로젝트 상세 정보 입력 화면,"모집 분야(텍스트 에디터, 필수, 50자 이상), 디자인 방향(텍스트 에디터, 선택), 참여 IPH 혜택(텍스트 에디터, 필수, 50자 이상), 유의사항(텍스트 에디터, 필수, 50자 이상)","다음 버튼 클릭→유효성 검사→[7-1-3 신청 양식] 이동, 이전 버튼 클릭→[7-1-1 기본 정보 입력] 이동",
60,,,STEP 3 신청 양식,,,[7-1-3 프로젝트 등록>신청 양식],신청 양식 커스터마이징 화면,"기본 제공 필드(IP 선택, 가이드북 첨부), 커스텀 필드 추가 영역(필드 유형: 텍스트 입력, 전화번호, 이메일, URL, 파일 업로드, 선택형-싱글/멀티), 필드 순서 변경","필드 추가 버튼 클릭→필드 유형 선택→필드 추가, 필드 삭제 버튼 클릭→필드 삭제, 드래그앤드롭→순서 변경, 다음 버튼 클릭→[7-1-4 공개 설정/결제] 이동, 이전 버튼 클릭→[7-1-2 상세 정보 입력] 이동",
61,,,STEP 4 공개/결제,,,[7-1-4 프로젝트 등록>공개/결제],공개 범위 설정 및 결제 화면,"공개 범위 토글(공개/비공개), 프로젝트 카드 미리보기, 등록 비용 안내, 결제 정보","공개/비공개 토글 선택, 등록 완료 버튼 클릭→결제 모달 노출→결제 처리→운영팀 승인 대기→[7-1-5 등록 완료] 이동, 이전 버튼 클릭→[7-1-3 신청 양식] 이동",
62,,,등록 완료,,,[7-1-5 프로젝트 등록>완료],등록 완료 안내 화면,"등록 완료 메시지, 승인 대기 안내, 다음 단계 안내","마이페이지로 이동 버튼 클릭→[9-7-2 마이부스>프로젝트 관리] 이동, 홈으로 버튼 클릭→[2-1 메인] 이동",
63,,프로젝트 관리,프로젝트 목록,,,[7-2 프로젝트 관리],내 프로젝트 관리 페이지 (마이페이지 연동),"등록된 프로젝트 카드 목록(상태별: 승인대기/모집중/마감), 필터(진행 상태), 정렬(최신 등록순, 마감 임박순), 카드별 액션 버튼","프로젝트 카드 클릭→[7-2-1 프로젝트 상세/관리] 이동, 필터 선택→목록 필터링, 정렬 선택→목록 정렬 변경",
64,,,프로젝트 상세/관리,,,[7-2-1 프로젝트 관리>상세],프로젝트 상세 보기 및 관리 화면,"프로젝트 상세 정보 전체, 수정/마감 처리/지원자 관리 버튼, 지원 현황 요약(지원자 수, 선정 수)","수정 버튼 클릭→수정 모드 전환, 저장 버튼 클릭→수정 내용 저장, 마감 처리 버튼 클릭→마감 확인 모달→상태 변경, 지원자 관리 버튼 클릭→[7-3 지원자 관리] 이동",
65,,지원자 관리,지원자 목록,,,[7-3 지원자 관리],지원자 목록 페이지,"지원 IPH 카드 목록(IP 대표이미지, IP명, IPH명, 지원일시, 지원 상태 뱃지-검토중/선정/미선정), 필터(전체/검토중/선정/미선정), 지원자 수 표시","지원자 카드 클릭→[7-3-1 지원서 상세] 이동, 필터 선택→목록 필터링",
66,,,지원서 상세,,,[7-3-1 지원자 관리>지원서 상세],지원서 상세 보기 화면,"지원 양식 응답 내용, 첨부 파일(가이드북 등), IP 정보 요약, 선정/미선정 버튼","IP 상세 보기 버튼 클릭→[3-2 IP 상세] 이동, 첨부 파일 클릭→파일 다운로드/미리보기, 선정 버튼 클릭→선정 확인 모달→1:1 채팅방 생성+IPH 알림 발송→[10-1 채팅] 이동, 미선정 버튼 클릭→미선정 확인 모달→미선정 알림 발송",
67,프로젝트 지원 (IPH),프로젝트 지원,지원 시작,,,[8-1 프로젝트 지원],프로젝트 지원 시작 화면,"튜토리얼 모달(최초 진입 시), 지원 단계 안내(STEP 1~4)",튜토리얼 확인/스킵→[8-1-1 자격 검증] 이동,
68,,,STEP 1 자격 검증,,,[8-1-1 프로젝트 지원>자격 검증],지원 자격 검증 화면,"검증 항목(휴대폰 인증 여부, 사업자 인증 여부-사업자인 경우, 공개 IP 보유 여부), 검증 상태 표시","검증 통과 시→[8-1-2 IP 선택] 자동 이동, 휴대폰 미인증 시→[1-3-1 휴대폰 인증] 모달, 사업자 미인증 시→[1-3-2 사업자 인증] 모달, IP 미보유 시→IP 등록 유도 모달→[6-1 캐릭터 등록] 이동",
69,,,STEP 2 IP 선택,,,[8-1-2 프로젝트 지원>IP 선택],지원할 IP 선택 화면,"내 공개 IP 카드 목록, 각 IP 카드별 선택 라디오 버튼","IP 선택→[8-1-3 양식 작성] 이동, 취소 버튼 클릭→[4-2 프로젝트 상세] 이동",
70,,,STEP 3 양식 작성,,,[8-1-3 프로젝트 지원>양식 작성],지원 양식 작성 화면,"BP 커스텀 필드 응답 폼, 가이드북 첨부(선택), 필수 항목 표시","필수 항목 입력, 파일 첨부, 다음 버튼 클릭→유효성 검사→[8-1-4 최종 제출] 이동, 이전 버튼 클릭→[8-1-2 IP 선택] 이동",
71,,,STEP 4 최종 제출,,,[8-1-4 프로젝트 지원>최종 제출],지원 내용 확인 및 최종 제출 화면,"지원 내용 미리보기(선택한 IP, 응답 내용), 주의사항 안내(""지원 후 수정 불가, 취소 후 재지원 필요""), 제출 버튼","제출 버튼 클릭→지원 완료→BP에게 알림 발송→[8-1-5 지원 완료] 이동, 이전 버튼 클릭→[8-1-3 양식 작성] 이동",
72,,,지원 완료,,,[8-1-5 프로젝트 지원>완료],지원 완료 안내 화면,"지원 완료 메시지, 다음 단계 안내, 마이페이지 지원 현황 링크","지원 현황 보기 버튼 클릭→[8-2 지원 현황 관리] 이동, 홈으로 버튼 클릭→[2-1 메인] 이동",
73,,지원 현황 관리,지원 목록,,,[8-2 지원 현황 관리],지원한 프로젝트 관리 페이지 (마이페이지 연동),"탭(지원한 프로젝트, 스크랩한 프로젝트), 지원 프로젝트 카드 목록(상태별: 신청완료/선정/미선정), 필터(전체/신청완료/선정/미선정), 정렬(최신 지원순)","프로젝트 카드 클릭→[4-2 프로젝트 상세] 이동, 필터 선택→목록 필터링, 정렬 선택→목록 정렬 변경, 탭 클릭→해당 목록 표시",
74,,,지원 상세,,,[8-2-1 지원 현황>상세],지원 상세 보기 화면,"지원 내용(선택한 IP, 응답 내용), 지원 상태, 지원 취소 버튼(허용 구간일 때)","지원 취소 버튼 클릭→취소 확인 모달→취소 처리→[8-2 지원 현황 관리] 이동, 선정 시→채팅 버튼 노출→[10-1 채팅] 이동",
75,,,스크랩 목록,,,[8-2-2 지원 현황>스크랩],스크랩한 프로젝트 목록 화면,"스크랩한 프로젝트 카드 목록, 알림 설정 토글","프로젝트 카드 클릭→[4-2 프로젝트 상세] 이동, 스크랩 해제 버튼 클릭→목록에서 제거, 알림 설정 토글→알림 ON/OFF",
76,마이페이지,프로필 관리,내 프로필,,,[9-1 프로필 관리],프로필 관리 페이지,"프로필 이미지, 닉네임/기업명, 소개글, 이메일","프로필 이미지 변경 버튼 클릭→이미지 업로드 모달→업로드 완료 시 반영, 닉네임 수정 버튼 클릭→수정 모달→저장, 소개글 수정 버튼 클릭→수정 모달→저장, 이메일 변경 버튼 클릭→이메일 변경 플로우(인증 필요)",
77,,설정,계정/인증 관리,,,[9-2 설정],설정 페이지,"휴대폰 인증(상태, 인증된 번호 마스킹), 사업자 인증(상태, 인증된 정보-해당 시), 소셜 계정 연동(카카오/네이버/구글/LINE), 비밀번호 변경 링크, 회원 탈퇴 링크","휴대폰 재인증 버튼 클릭→[1-3-1 휴대폰 인증] 모달, 사업자 인증/재인증 버튼 클릭→[1-3-2 사업자 인증] 모달, 소셜 계정 연결 버튼 클릭→OAuth 인증→연결 완료, 소셜 계정 해제 버튼 클릭→해제 확인 모달→연결 해제, 비밀번호 변경 클릭→비밀번호 변경 모달, 회원 탈퇴 클릭→탈퇴 확인 모달→탈퇴 사유 입력→최종 탈퇴 처리",
78,,,계좌 관리,,,[9-3 계좌 관리],정산 계좌 관리 페이지 (IPH 전용),"등록된 계좌 정보(은행명, 계좌번호 마스킹, 예금주), 계좌 등록/변경 버튼","계좌 등록/변경 버튼 클릭→계좌 입력 모달(은행 선택, 계좌번호, 예금주)→저장",
79,,,요금제 관리,,,[9-4 요금제 관리],요금제 및 결제 관리 페이지,"현재 요금제(Basic/Pro/Business), 만료일(유료 시), 요금제 비교표","업그레이드 버튼 클릭→결제 모달→결제 완료→요금제 변경, 다운그레이드 버튼 클릭→다운그레이드 안내 모달",
80,,,,IPH 요금제,,[9-4-1 요금제>IPH],IPH 요금제 비교표,"Basic: IP 1개 등록, 월 1회 프로젝트 지원 / Pro: IP 무제한 등록, 지원 횟수 무제한, 상세 지표 조회 / Business: Pro 기능 + 복수 계정, 관리자 초대(최대 5명)",각 요금제 선택 버튼 클릭→결제 모달,
81,,,,BP 요금제,,[9-4-2 요금제>BP],BP 요금제 비교표,"Basic: 월 2건 문의, 프로젝트 1개 등록 / Pro: 무제한 문의, 프로젝트 등록, 상세 필터/정렬, IP 협업지수 조회 / Business: Pro 기능 + 복수 계정, 관리자 초대(최대 5명)",각 요금제 선택 버튼 클릭→결제 모달,
82,,,,결제 수단,,[9-4-3 요금제>결제 수단],결제 수단 관리 화면,"등록된 카드 정보(카드사, 번호 마스킹), 카드 변경 버튼",카드 변경 버튼 클릭→카드 등록 모달→저장,
83,,,,결제 내역,,[9-4-4 요금제>결제 내역],결제 내역 목록 화면,"결제 내역 목록(결제 날짜, 금액, 상품명, 상태)",상세 보기 클릭→영수증 확인,
84,,,관리자 초대,,,[9-5 관리자 초대],관리자 초대 및 권한 관리 페이지 (Business 전용),"초대된 관리자 목록(이메일, 권한 레벨, 할당된 IP/프로젝트, 초대 상태-대기/수락/만료), 관리자 초대 버튼(최대 5명)","관리자 초대 버튼 클릭→[9-5-1 초대 모달] 노출, 권한 변경 버튼 클릭→수정 모달→저장, 삭제 버튼 클릭→삭제 확인 모달→삭제 처리",
85,,,,초대 모달,,[9-5-1 관리자 초대>모달],관리자 초대 모달,"이메일 입력 필드, 권한 레벨 드롭다운(Owner/Admin/Editor/Viewer), 할당 대상 복수 선택(IP/프로젝트)",초대 발송 버튼 클릭→초대 이메일 발송(7일 유효)→목록 갱신,
86,,,알림 설정,,,[9-6 알림 설정],알림 설정 페이지,"이메일 알림 토글(유형별: 협업 문의, 프로젝트 지원, 선정 결과, 마케팅), 카카오톡 알림 토글(유형별), SMS 알림 토글(유형별)",각 알림 유형별 토글 ON/OFF,
87,,마이부스,대시보드,,,[9-7 마이부스],마이부스 대시보드 페이지,"사용자 유형별 요약 카드(IPH: 내 IP 관리, 지원한 프로젝트, 받은 문의 / BP: 내 프로젝트 관리, 보낸 문의), 각 카드별 요약 수치",각 카드 전체 보기 클릭→해당 관리 페이지 이동,
88,,,,IP 관리 (IPH),,[9-7-1 마이부스>IP 관리],내 IP 관리 화면,"등록된 IP 카드 요약(공개/비공개 수), 전체 보기 버튼","전체 보기 클릭→[6-2 캐릭터 관리] 이동, IP 카드 클릭→[6-2-1 IP 상세/수정] 이동",
89,,,,프로젝트 관리 (BP),,[9-7-2 마이부스>프로젝트 관리],내 프로젝트 관리 화면,"등록된 프로젝트 카드 요약(모집중/마감 수), 전체 보기 버튼","전체 보기 클릭→[7-2 프로젝트 관리] 이동, 프로젝트 카드 클릭→[7-2-1 프로젝트 상세/관리] 이동",
90,,,,지원한 프로젝트 (IPH),,[9-7-3 마이부스>지원 현황],지원 현황 요약 화면,"지원 현황 요약(신청완료/선정/미선정 수), 전체 보기 버튼",전체 보기 클릭→[8-2 지원 현황 관리] 이동,
91,,,,받은 문의 (IPH),,[9-7-4 마이부스>받은 문의],최근 받은 문의 요약 화면,"최근 받은 문의 카드 요약, 전체 보기 버튼","전체 보기 클릭→[10-1 채팅] 이동, 문의 카드 클릭→해당 채팅방 이동",
92,,,,보낸 문의 (BP),,[9-7-5 마이부스>보낸 문의],최근 보낸 문의 요약 화면,"최근 보낸 문의 카드 요약, 전체 보기 버튼","전체 보기 클릭→[10-1 채팅] 이동, 문의 카드 클릭→해당 채팅방 이동",
93,,,,스크랩 관리,,[9-7-6 마이부스>스크랩],스크랩 관리 화면,"탭(IP, 프로젝트, 인사이트), 각 탭별 스크랩 카드 목록","탭 클릭→해당 목록 표시, 카드 클릭→각 상세 페이지 이동([3-2 IP 상세]/[4-2 프로젝트 상세]/[5-2 인사이트 상세]), 스크랩 해제 버튼 클릭→목록에서 제거",
94,,내 통계,통계 대시보드,,,[9-8 내 통계],내 통계 대시보드 페이지,"사용자 유형별 통계(IPH: IP 조회수, 스크랩수, 문의 수신수, 프로젝트 지원수/선정수, 협업지수 / BP: 프로젝트 조회수, 지원자수, 문의 발송수, 협업지수), 기간 필터(7일/30일/전체), 차트/그래프",기간 필터 선택→데이터 갱신,
95,채팅,채팅,채팅 목록,,,[10-1 채팅],채팅 전용 페이지,"채팅방 카드 목록(상대방 프로필, 최근 메시지, 시간, 읽지 않은 메시지 수, 협업 상태 뱃지), 필터(전체/문의중/협의중/결제대기/계약체결/협업진행중/완료), 검색 필드","채팅방 클릭→[10-2 채팅방 상세] 이동, 필터 선택→목록 필터링, 검색어 입력→목록 필터링",
96,,,채팅방 상세,,,[10-2 채팅방 상세],채팅방 상세 화면,"헤더(상대방 프로필, 이름/기업명, 협업 상태 뱃지), 메시지 영역(시간순 메시지 목록-텍스트/이미지/파일, 읽음 표시), 문의 카드(문의 기반 시: 협업 유형, 예산, 인사말/프로젝트 개요), 메시지 입력 필드, 파일 첨부 버튼","프로필 클릭→상대방 상세 페이지 이동, 메시지 입력→Enter/전송 버튼→메시지 전송, 파일 첨부 버튼 클릭→파일 선택→파일 전송",
97,,,,제안/수락,,[10-2-1 채팅방>제안/수락],제안 및 수락 기능 영역,"(BP) 제안 보내기 버튼, (IPH) 제안 수락/거절 버튼","(BP) 제안 보내기 버튼 클릭→제안 모달(금액, 조건 입력)→제안 전송→상태: 협의중→결제대기, (IPH) 수락 버튼 클릭→결제 대기 상태, (IPH) 거절 버튼 클릭→협의 계속 또는 종료",
98,,,,결제,,[10-2-2 채팅방>결제],결제 기능 영역 (결제대기 상태 시),"(BP) 결제하기 버튼, 결제 금액 표시",(BP) 결제하기 버튼 클릭→결제 모달→결제 완료→상태: 계약체결→협업진행중,
99,,,,협업 완료,,[10-2-3 채팅방>협업 완료],협업 완료 기능 영역 (협업진행중 상태 시),협업 완료 버튼,협업 완료 버튼 클릭→완료 확인 모달→상태: 완료→[10-2-4 상호 평가] 모달 노출,
100,,,,상호 평가,,[10-2-4 채팅방>상호 평가],상호 평가 모달,"별점(1~5), 한줄평 입력 필드",평가 제출 버튼 클릭→협업지수 반영→완료,
101,,,문의 폼,,,[10-3 문의 폼 모달],문의하기 폼 모달 (BP→IPH),"Q1. 주요 협업 유형 라디오(제품 생산 및 상품화 라이선스, 마케팅 협업 캠페인, 온라인 광고 및 프로모션 협업, 이벤트/전시/팝업스토어, 유통 목적의 상품 구매)(필수), Q2. 프로젝트 예산 입력+AI 예산 추천(제품 생산 시: SRP/수량/로열티율 기준 MG 제안)(필수), Q3. 추가 요청 사항 복수 선택(SNS 프로모션 지원, 추가 에셋 제작, 비매품/증정용 라이선스 활용, 기타)(선택), Q4. 인사말 및 프로젝트 개요(20~300자)(필수)","라디오 버튼 선택, 금액 입력/AI 추천값 참고, 체크박스 복수 선택, 텍스트 입력, 문의하기 버튼 클릭→문의 제출→1:1 채팅방 자동 생성→[10-2 채팅방 상세] 이동",
102,고객지원,FAQ,FAQ 메인,,,[11-1 FAQ],자주 묻는 질문 페이지,"검색바, 카테고리 탭(전체/계정 및 인증/IP 등록 및 관리/프로젝트 지원/결제 및 정산/기타), 카테고리별 FAQ 목록(아코디언 형태), 피드백 버튼(도움이 되었나요?), 1:1 문의 CTA","검색어 입력→관련 질문 실시간 필터링, 카테고리 탭 클릭→해당 카테고리 FAQ 노출, FAQ 질문 클릭→답변 아코디언 펼침, 피드백 버튼 클릭→피드백 전송, 1:1 문의 클릭→이메일 앱 실행(mailto)",
